trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2039,False,"{'a': 0.4, 'e': 0.5237919398241294}",25,13,7.36950037774589,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2040,False,"{'a': 0.4, 'e': 0.5233659512516496}",20,5,-19.80429424386345,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
2041,False,"{'a': 0.4, 'e': 0.5229398318376847}",25,13,7.337286388387749,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2042,False,"{'a': 0.4, 'e': 0.5225135816887643}",20,3,-34.712202067165975,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
2043,False,"{'a': 0.4, 'e': 0.5220872009114514}",20,0,-43.032720630650346,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
2044,False,"{'a': 0.4, 'e': 0.5216606896123411}",30,14,-16.5976257350404,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
2045,False,"{'a': 0.4, 'e': 0.521234047898061}",25,5,-0.06038252918631848,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
2046,False,"{'a': 0.4, 'e': 0.5208072758752715}",20,0,-62.30817958653794,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
2047,False,"{'a': 0.4, 'e': 0.5203803736506659}",20,12,1.1977820322547692,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
2048,False,"{'a': 0.4, 'e': 0.5199533413309697}",20,8,5.873046289104238,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
2049,False,"{'a': 0.4, 'e': 0.5195261790229407}",30,1,-81.34921347372914,"{0: 23, 1: 2, 2: 1, 3: 1, 4: 2}",1
2050,False,"{'a': 0.4, 'e': 0.5190988868333698}",20,0,-45.2743610821888,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
2051,False,"{'a': 0.4, 'e': 0.5186714648690797}",20,3,-20.531323554428244,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
2052,False,"{'a': 0.4, 'e': 0.5182439132369262}",25,0,-57.366456520404384,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
2053,False,"{'a': 0.4, 'e': 0.5178162320437971}",20,0,-36.25789993620533,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2054,False,"{'a': 0.4, 'e': 0.5173884213966127}",25,14,-3.929730580724235,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
2055,False,"{'a': 0.4, 'e': 0.5169604814023254}",25,0,-27.42312541432583,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
2056,False,"{'a': 0.4, 'e': 0.5165324121679208}",20,2,-13.830104417188704,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
2057,False,"{'a': 0.4, 'e': 0.5161042138004157}",30,18,-13.248485858243189,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
2058,False,"{'a': 0.4, 'e': 0.5156758864068599}",20,16,8.391688470483123,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2059,False,"{'a': 0.4, 'e': 0.5152474300943349}",35,15,-79.67691366256443,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",1
2060,False,"{'a': 0.4, 'e': 0.5148188449699553}",20,0,-71.02246005877547,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
2061,False,"{'a': 0.4, 'e': 0.5143901311408672}",20,7,-120.12562956615676,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 3}",1
2062,False,"{'a': 0.4, 'e': 0.513961288714249}",30,0,-91.45199384241596,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
2063,False,"{'a': 0.4, 'e': 0.513532317797311}",30,0,-85.02965711657674,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
2064,False,"{'a': 0.4, 'e': 0.5131032184972966}",25,0,-108.30387318038674,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
2065,False,"{'a': 0.4, 'e': 0.51267399092148}",20,15,3.2016048132620343,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
2066,False,"{'a': 0.4, 'e': 0.5122446351771686}",25,13,21.467638209538514,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2067,False,"{'a': 0.4, 'e': 0.5118151513717006}",30,0,-58.93054550506429,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
2068,False,"{'a': 0.4, 'e': 0.5113855396124478}",25,4,-74.6699779524373,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 2}",1
2069,False,"{'a': 0.4, 'e': 0.5109558000068127}",20,0,-15.290501509596755,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
2070,False,"{'a': 0.4, 'e': 0.5105259326622303}",25,10,9.830894881450575,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
2071,False,"{'a': 0.4, 'e': 0.5100959376861672}",25,0,-50.400423809921946,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
2072,False,"{'a': 0.4, 'e': 0.5096658151861225}",30,10,-16.400011606698374,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
2073,False,"{'a': 0.4, 'e': 0.5092355652696267}",30,0,-86.2390668063496,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
2074,False,"{'a': 0.4, 'e': 0.5088051880442422}",25,5,-66.4699930521259,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",1
2075,False,"{'a': 0.4, 'e': 0.5083746836175631}",20,3,-42.18272739327431,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
2076,False,"{'a': 0.4, 'e': 0.507944052097216}",25,3,20.01245018678095,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
2077,False,"{'a': 0.4, 'e': 0.5075132935908585}",20,0,13.63517038893068,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2078,False,"{'a': 0.4, 'e': 0.5070824082061803}",25,0,-80.14140254367224,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
2079,False,"{'a': 0.4, 'e': 0.5066513960509025}",25,11,-23.302353927178473,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
2080,False,"{'a': 0.4, 'e': 0.5062202572327784}",25,8,32.756920076361496,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2081,False,"{'a': 0.4, 'e': 0.5057889918595927}",30,13,-100.49698741526069,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 2}",1
2082,False,"{'a': 0.4, 'e': 0.5053576000391616}",25,0,-38.11270203697711,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
2083,False,"{'a': 0.4, 'e': 0.5049260818793331}",30,13,-43.59304321516147,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
2084,False,"{'a': 0.4, 'e': 0.5044944374879868}",35,15,-23.17876165368088,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
2085,False,"{'a': 0.4, 'e': 0.5040626669730338}",20,6,-55.77540250063766,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
2086,False,"{'a': 0.4, 'e': 0.5036307704424168}",20,10,-13.589845126750754,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
2087,False,"{'a': 0.4, 'e': 0.5031987480041095}",25,17,-16.923986154494767,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
2088,False,"{'a': 0.4, 'e': 0.5027665997661179}",20,6,12.493481793189336,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2089,False,"{'a': 0.4, 'e': 0.5023343258364792}",20,13,14.442805133776503,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2090,False,"{'a': 0.4, 'e': 0.5019019263232615}",25,7,-19.41361278399365,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
2091,False,"{'a': 0.4, 'e': 0.5014694013345646}",20,6,-48.67222628094914,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
2092,False,"{'a': 0.4, 'e': 0.5010367509785203}",20,13,-1.562515117322895,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2093,False,"{'a': 0.4, 'e': 0.5006039753632909}",20,11,-10.961565784133796,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
2094,False,"{'a': 0.4, 'e': 0.5001710745970702}",25,13,-2.364152727193871,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
2095,False,"{'a': 0.4, 'e': 0.49973804878808326}",25,18,-37.28689162088607,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
2096,False,"{'a': 0.4, 'e': 0.4993048980445869}",20,10,5.216736852121557,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2097,False,"{'a': 0.4, 'e': 0.49887162247486866}",25,13,11.123608557045138,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
2098,False,"{'a': 0.4, 'e': 0.49843822218724737}",20,9,18.405998678479513,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2099,False,"{'a': 0.4, 'e': 0.49800469729007296}",20,14,6.9653137498609885,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2100,False,"{'a': 0.4, 'e': 0.497571047891727}",25,12,-38.86032630105523,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
2101,False,"{'a': 0.4, 'e': 0.49713727410062164}",20,3,-7.3632481711318345,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
2102,False,"{'a': 0.4, 'e': 0.49670337602520037}",20,13,-9.014435880108465,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
2103,False,"{'a': 0.4, 'e': 0.4962693537739375}",20,4,-8.826024047861864,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 0}",1
2104,False,"{'a': 0.4, 'e': 0.495835207455339}",20,0,-103.48350391295328,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
2105,False,"{'a': 0.4, 'e': 0.49540093717794115}",30,13,-7.422274253673117,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
2106,False,"{'a': 0.4, 'e': 0.49496654305031157}",35,23,-17.59953703227446,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
2107,False,"{'a': 0.4, 'e': 0.49453202518104866}",25,0,-24.48322383426137,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
2108,False,"{'a': 0.4, 'e': 0.4940973836787822}",25,1,-1.6317574996610107,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
2109,False,"{'a': 0.4, 'e': 0.4936626186521724}",20,14,9.690876099185845,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
